id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
32,5805,163.9360649,46.60556959,0.958738,6049,85.97183002,0.48098434,356.958,0.572503108,3.517520895,1
33,8232,165.5231084,63.79774509,0.92273664,8423,102.3782591,0.529320988,382.855,0.705743,2.594497787,0
34,6044,141.7637264,55.15966035,0.921197327,6216,87.72376992,0.653688081,328.077,0.705639282,2.570061626,0
35,7622,157.8959273,62.26978632,0.918950737,7809,98.51208966,0.52187607,366.317,0.71378047,2.53567479,0
36,7351,154.5857262,61.64472031,0.917049369,7569,96.74494247,0.521458466,370.153,0.674207749,2.507688014,0
37,5789,156.7156836,47.69269154,0.952567873,5939,85.85326857,0.503303773,343.188,0.617659643,3.285947564,1
38,5046,147.3173479,44.82223722,0.952590195,5226,80.15464268,0.505105105,320.015,0.619179315,3.286702251,1
39,8084,146.772461,70.99235634,0.875239444,8304,101.4537751,0.586391992,356.425,0.799649836,2.067440335,0
40,6594,167.757646,51.01652845,0.952637398,6766,91.62827925,0.434387352,372.263,0.597942002,3.288299912,1
41,6982,136.7654014,65.56952245,0.877579781,7073,94.28551586,0.598696622,327.867,0.816195686,2.085807495,0
42,6681,168.8673424,51.34741987,0.95264983,6942,92.23076167,0.468842105,370.771,0.610716733,3.288721086,1
43,5149,147.7820213,44.92729787,0.952668656,5285,80.96857672,0.442353952,323.774,0.617232541,3.289359216,1
44,6648,134.017027,64.2415702,0.877621753,6816,92.00269829,0.647322298,324.142,0.795115574,2.086141833,0
45,6033,154.3591327,50.93285598,0.943993745,6210,87.64390551,0.47503937,340.602,0.65350483,3.030639648,1
46,6966,136.947147,66.32911415,0.87487932,7208,94.17742123,0.618320611,337.755,0.767343397,2.064661179,0
47,5294,145.7172702,48.08067333,0.943995387,5469,82.10073173,0.45787926,327.511,0.620214648,3.030682811,1
48,6571,130.9172233,64.44961107,0.870429644,6677,91.46833905,0.765850816,316.69,0.823327518,2.031311302,0
49,7643,142.4860978,69.33824874,0.873607241,7778,98.6477057,0.624428105,345.646,0.803915964,2.054942263,0
50,5805,150.364354,49.92701158,0.943265233,5985,85.97183002,0.492951766,338.162,0.637914511,3.01168344,1
